Temperature,Humidity,Light,Soil_Moisture,CO2,Growth
16.83,53.82,226.54,12.1,505.56,74.55
14.24,53.32,353.27,13.2,518.76,77.24
16.36,54.41,246.87,13.68,575.56,80.73
16.45,52.93,496.01,10.0,585.05,88.27
14.4,59.57,243.74,14.74,559.87,78.48
13.27,52.96,346.84,10.76,564.02,69.65
15.89,51.01,310.56,11.04,501.42,72.16
14.18,55.04,385.56,11.28,583.03,79.48
16.09,50.58,241.27,10.13,578.31,68.8
14.82,50.9,334.77,10.61,526.15,70.0
14.96,52.26,281.68,14.89,570.9,79.36
16.11,54.51,472.06,11.63,520.1,87.74
14.58,54.27,211.38,10.56,504.91,63.26
14.8,58.04,477.7,10.55,520.05,83.39
14.59,57.28,440.55,13.61,516.47,88.13
14.44,54.25,299.47,14.29,536.92,77.07
15.08,53.12,443.09,11.28,542.51,82.36
16.16,53.26,208.16,10.14,550.64,67.21
14.42,58.0,481.75,11.06,549.66,85.35
15.15,50.93,359.19,10.38,529.66,72.14
15.76,50.14,284.9,10.5,502.71,68.65
14.13,58.07,310.65,12.06,561.0,75.33
14.01,54.51,221.66,11.16,538.19,65.07
16.8,51.53,492.84,12.52,529.66,91.94
15.79,52.47,216.51,11.32,586.41,69.31
15.36,59.25,399.87,14.86,574.93,91.92
15.57,58.77,336.93,14.47,586.24,87.96
13.16,57.06,484.71,12.86,550.28,85.54
15.4,54.76,267.83,11.65,513.43,73.01
15.11,55.27,363.75,11.94,567.92,79.98
15.1,59.6,343.57,12.0,519.29,80.55
14.4,59.81,405.0,13.59,543.36,87.43
13.27,52.0,226.1,12.18,506.1,62.56
13.67,57.96,266.99,14.34,584.01,76.21
16.81,51.84,264.2,14.79,510.96,81.9
14.74,52.25,430.55,11.68,589.81,81.19
15.02,56.67,257.13,12.74,587.76,76.05
13.22,53.85,370.44,10.59,546.04,70.43
13.21,59.23,261.92,10.95,575.08,68.1
15.88,50.89,465.39,11.91,561.75,86.82
15.18,54.94,479.37,11.06,580.67,86.86
15.02,59.02,358.65,14.3,542.86,86.86
13.98,59.35,303.34,10.86,579.52,72.97
16.01,51.44,268.28,12.25,544.08,74.13
13.64,53.62,219.28,13.07,593.59,68.65
13.76,56.14,278.95,13.56,549.05,73.31
14.84,51.53,394.56,11.83,547.01,78.77
14.19,59.77,364.86,14.3,580.6,85.54
13.93,59.28,489.95,12.84,581.61,90.1
15.58,51.63,321.6,12.31,557.53,77.5
15.71,51.03,405.4,10.29,517.05,76.79
16.37,51.04,344.64,12.28,548.64,80.38
14.75,59.08,354.11,14.14,597.96,85.56
13.29,52.19,281.69,13.03,574.02,70.03
14.11,53.84,332.32,14.17,581.55,80.38
16.98,54.52,344.28,12.36,503.21,83.87
15.47,56.27,412.35,10.75,547.66,81.31
15.73,50.67,474.96,9.97,564.35,84.16
12.95,52.23,294.88,11.49,582.57,67.55
15.15,59.36,210.54,13.49,506.85,73.78
13.13,59.0,348.58,14.09,585.11,80.19
15.24,57.77,371.3,11.38,556.0,81.0
16.61,50.15,251.54,12.62,519.41,73.73
16.84,53.18,424.6,12.16,534.07,88.89
15.08,56.46,496.41,12.08,527.24,89.27
14.95,52.82,482.25,11.09,552.22,84.61
16.78,59.13,260.5,10.72,507.31,75.58
15.69,56.46,465.06,10.93,515.23,86.01
13.29,50.68,416.45,10.37,583.52,72.07
14.92,58.98,336.05,10.92,514.51,76.17
14.02,59.49,369.09,10.04,523.12,73.47
14.94,50.78,458.71,13.1,542.79,85.65
14.79,55.17,341.06,11.51,551.68,76.54
15.31,52.96,321.28,14.92,576.5,82.71
14.47,53.85,349.35,11.01,546.37,74.04
13.63,52.1,370.22,11.82,581.22,74.78
15.01,55.38,263.69,11.66,560.87,72.52
16.34,59.55,479.03,10.12,512.44,88.55
15.7,55.28,402.12,14.38,516.71,88.16
14.25,50.85,387.86,10.13,545.21,73.07
16.78,56.31,229.12,14.84,540.39,82.27
16.64,53.42,384.26,14.44,571.63,90.79
13.88,58.46,241.67,12.58,557.86,71.75
13.2,54.02,226.01,12.7,537.19,65.6
16.06,51.96,358.62,13.34,516.79,82.24
16.39,51.8,327.15,11.87,524.06,78.12
16.95,57.57,375.32,13.19,557.98,90.56
16.64,52.58,231.11,10.27,543.96,69.49
15.42,57.93,328.08,10.27,551.97,75.06
15.12,52.41,254.25,12.33,515.24,69.85
13.16,53.25,495.65,12.77,562.75,84.45
